month,sku_name,sku_num,region,sales_units
2024-04-01,CPVC-GLD-0.5-PIPE [2FT],206041,PACIFIC_NORTHWEST,2.4186778363248114
2025-09-01,CPVC-GLD-0.5-PIPE [2FT],206041,PACIFIC_NORTHWEST,12.006578151858243
2025-02-01,CPVC-GLD-0.5-PIPE [2FT],206041,PACIFIC_NORTHWEST,4.480735236076647
2025-04-01,CPVC-GLD-0.5-PIPE [2FT],206041,PACIFIC_NORTHWEST,7.926598430729469
2024-12-01,CPVC-GLD-0.5-PIPE [2FT],206041,PACIFIC_NORTHWEST,4.778458609326939
2024-05-01,CPVC-GLD-0.5-PIPE [2FT],206041,PACIFIC_NORTHWEST,6.66094744237994
2024-09-01,CPVC-GLD-0.5-PIPE [2FT],206041,PACIFIC_NORTHWEST,0.7458345645249637
2025-05-01,CPVC-GLD-0.5-PIPE [2FT],206041,PACIFIC_NORTHWEST,6.500829620269854
2025-09-01,PVC-ADP-1.5x2-MPT-SOC,279902,PACIFIC_NORTHWEST,10.510589549116155
2024-03-01,PVC-ADP-1.5x2-MPT-SOC,279902,PACIFIC_NORTHWEST,17.947962726568317
2025-04-01,PVC-ADP-1.5x2-MPT-SOC,279902,PACIFIC_NORTHWEST,13.544997400900634
2023-07-01,PVC-ADP-1.5x2-MPT-SOC,279902,PACIFIC_NORTHWEST,11.331658383287488
2025-03-01,PVC-CPL-0.75-DS-SXS,796855,PACIFIC_NORTHWEST,23.44245429453831
2025-11-01,PVC-CPL-0.75-DS-SXS,796855,PACIFIC_NORTHWEST,13.161300823744547
2024-09-01,PVC-CPL-0.75-DS-SXS,796855,PACIFIC_NORTHWEST,68.5895663673384
2024-10-01,PVC-CPL-0.75-DS-SXS,796855,PACIFIC_NORTHWEST,16.509684604358274
2024-05-01,PVC-TRP-0.75-SPG-SPG,823763,PACIFIC_NORTHWEST,1.8683571853031613
2023-12-01,PVC-TRP-0.75-SPG-SPG,823763,PACIFIC_NORTHWEST,1.5929932919006404
2023-03-01,PVC-TRP-0.75-SPG-SPG,823763,PACIFIC_NORTHWEST,4.847027516496584
2024-03-01,PVC-TRP-0.75-SPG-SPG,823763,PACIFIC_NORTHWEST,11.821450377676003
2023-04-01,PVC-TRP-0.75-SPG-SPG,823763,PACIFIC_NORTHWEST,3.219981270468578
2025-04-01,PVC-PIPE-1.25-S40 [2FT],987414,PACIFIC_NORTHWEST,63.981107835985405
2024-02-01,PVC-PIPE-1.25-S40 [2FT],987414,PACIFIC_NORTHWEST,2.3065988881784794
2023-04-01,PVC-PIPE-1.25-S40 [2FT],987414,PACIFIC_NORTHWEST,5.3767440511461535
2023-12-01,PVC-PIPE-1.25-S40 [2FT],987414,PACIFIC_NORTHWEST,3.0171400744696686
2023-09-01,PVC-S-ELB90-0.75-SOC,1002146031,PACIFIC_NORTHWEST,110.94317307008541
2025-04-01,PVC-ELB90-0.75-S40-SXS [35pk],1003953647,PACIFIC_NORTHWEST,11.462083770334285
2023-01-01,PVC-ELB90-0.75-S40-SXS [35pk],1003953647,PACIFIC_NORTHWEST,4.026730764928678
